familyID	type	detail	Protein_names	Gene_names	Tax	TaxID	Rep_Tax	Rep_TaxID	UniProtKB	unirefID
Cluster_1	UniRef90_GO	GO:0003743;GO:0005737;GO:0019843;GO:0043022	Translation initiation factor IF-1	RUMGNA_02659{ECO:0000313|EMBL:EDN77045.1}	root	1	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B522	UniRef90_A7B522
Cluster_1	UniRef90_PfamDomain	PF01176	Translation initiation factor IF-1	RUMGNA_02659{ECO:0000313|EMBL:EDN77045.1}	root	1	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B522	UniRef90_A7B522
Cluster_1	UniRef90_eggNOG	COG0361;ENOG4105K9U	Translation initiation factor IF-1	RUMGNA_02659{ECO:0000313|EMBL:EDN77045.1}	root	1	Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)	411470	A7B522	UniRef90_A7B522
Cluster_10	UniRef90_uncharacterized	UniRef90_uncharacterized	Uncharacterized protein	T1815_02191{ECO:0000313|EMBL:CRL31850.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A0M6W8Q5	UniRef90_A0A0M6W8Q5
Cluster_100	UniRef90_GO	GO:0005737;GO:0008616;GO:0016740;GO:0016853	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	T1815_15831{ECO:0000313|EMBL:CRL37473.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A0M6WLI9	UniRef90_A0A0M6WLI9
Cluster_100	UniRef90_Level4EC	2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	T1815_15831{ECO:0000313|EMBL:CRL37473.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A0M6WLI9	UniRef90_A0A0M6WLI9
Cluster_100	UniRef90_PfamDomain	PF02547	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	T1815_15831{ECO:0000313|EMBL:CRL37473.1}	Clostridiales	186802	[Eubacterium] rectale	39491	A0A0M6WLI9	UniRef90_A0A0M6WLI9
Cluster_1000	UniRef90_PfamDomain	PF08876	Domain of uncharacterized function (DUF1836)	NA	Clostridiales	186802	[Eubacterium] rectale	39491	A0A174GTW6	UniRef90_A0A174GTW6
Cluster_1000	UniRef90_uncharacterized	UniRef90_uncharacterized	Domain of uncharacterized function (DUF1836)	NA	Clostridiales	186802	[Eubacterium] rectale	39491	A0A174GTW6	UniRef90_A0A174GTW6
Cluster_1001	UniRef90_GO	GO:0016021	DUF624 domain-containing protein	NA	Clostridiales	186802	[Eubacterium] rectale	39491	A0A173U990	UniRef90_A0A173U990
Cluster_1001	UniRef90_PfamDomain	PF04854	DUF624 domain-containing protein	NA	Clostridiales	186802	[Eubacterium] rectale	39491	A0A173U990	UniRef90_A0A173U990
