#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
X0	3	4	7	2	5	6	1	7	7	2	2	3	7	6	7	6	3	1	7	1	2	1	3	5	4	6	2	3	5	4	7	3	2	6	1	1	4	5	5	2	4	3	4	1	8	5	6	6	5	4
X1	1	4	4	5	3	4	1	6	7	1	2	2	4	5	6	5	5	1	5	2	2	7	2	6	3	7	1	3	6	2	7	3	4	5	6	1	4	1	7	3	3	3	7	4	8	7	6	5	6	2
X2	7	4	6	6	3	5	5	4	6	1	1	3	5	4	2	6	4	2	5	1	1	7	3	7	2	8	2	2	5	6	4	4	1	2	1	1	5	3	5	3	3	3	7	6	7	4	7	7	6	2
X3	8	3	4	3	3	5	7	5	5	2	7	7	2	5	6	2	1	6	5	3	7	5	6	6	1	1	4	1	7	2	4	2	1	7	1	3	5	6	3	4	7	4	6	4	6	2	4	1	3	2
X4	7	1	1	3	2	5	5	6	3	5	5	4	7	7	6	6	5	4	7	5	1	7	7	8	2	4	4	3	1	1	4	3	3	6	6	2	1	6	1	3	5	4	6	3	7	2	4	2	2	2
X5	7	1	7	3	1	1	5	2	3	5	2	1	1	4	6	5	5	2	6	7	1	8	5	7	6	7	4	3	6	1	3	4	3	6	4	3	2	6	5	2	5	4	7	4	7	3	4	6	2	2
X6	3	1	7	6	6	1	2	7	3	4	2	7	2	4	4	8	1	3	5	5	2	5	1	5	7	2	3	1	3	1	4	7	1	3	6	2	6	6	2	7	5	4	7	4	5	3	4	5	6	6
X7	2	4	8	6	5	3	6	1	4	4	4	7	1	2	2	6	5	5	2	3	6	6	5	5	7	1	1	3	4	6	3	7	1	3	7	2	5	6	1	7	4	3	7	2	2	3	4	7	1	5
X8	2	3	8	6	5	1	1	2	3	4	3	7	4	4	3	1	7	4	6	3	4	6	6	6	2	1	3	3	2	7	2	7	4	1	5	5	7	1	5	7	6	5	5	6	2	2	4	7	5	1
X9	7	1	4	2	3	3	3	5	2	2	3	2	5	6	1	1	5	7	2	4	6	6	8	5	7	3	7	6	7	4	4	4	3	1	1	1	3	7	1	5	6	7	4	2	5	6	5	4	6	2
X10	2	6	6	3	1	3	3	5	5	2	5	4	2	1	1	5	7	5	2	4	3	7	7	2	1	3	4	6	7	4	4	4	2	2	1	5	3	7	6	6	6	7	1	6	7	5	8	3	1	4
X11	5	1	7	4	5	2	3	5	6	2	4	3	2	4	5	5	7	7	1	4	2	7	6	2	4	3	6	7	5	3	3	2	4	1	2	7	3	4	6	6	1	6	1	6	8	1	7	3	1	5
X12	5	7	3	7	1	8	6	3	4	1	7	1	1	2	4	5	6	1	2	7	6	7	2	6	2	4	2	3	7	5	1	3	6	2	6	4	4	4	5	1	3	7	6	4	2	3	5	3	5	5
X13	6	8	2	7	1	7	1	3	2	6	7	3	5	3	2	6	7	5	2	7	7	7	1	6	2	4	1	4	2	5	6	4	1	4	3	3	4	2	1	6	4	1	6	5	3	4	5	5	5	3
X14	1	6	7	2	5	7	2	6	3	4	5	2	5	3	1	6	1	2	4	6	1	1	6	6	7	4	8	6	3	7	2	5	5	4	3	1	7	5	5	7	1	2	7	3	4	3	4	4	2	3
X15	2	5	7	4	7	5	3	1	4	6	1	2	6	4	3	4	6	2	5	6	2	4	7	5	7	5	7	5	3	7	2	6	6	1	3	3	8	1	4	5	3	1	6	1	7	2	3	2	1	4
